schemaname,tablename,policyname,permissive,roles,cmd,qual
public,collection_items,Collection items are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,collection_items,Users can manage their own collection items,PERMISSIVE,{public},ALL,"(auth.uid() = ( SELECT profile_collections.profile_id
   FROM profile_collections
  WHERE (profile_collections.id = collection_items.collection_id)))"
public,comments,Authenticated users can create comments,PERMISSIVE,{public},INSERT,null
public,comments,Comments are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,comments,Comments delete own,PERMISSIVE,{public},DELETE,(auth.uid() = user_id)
public,comments,Comments insert own,PERMISSIVE,{public},INSERT,null
public,comments,Comments read,PERMISSIVE,{public},SELECT,true
public,comments,Users can manage their own comments,PERMISSIVE,{public},ALL,(auth.uid() = user_id)
public,communities,Community creators can manage their communities,PERMISSIVE,{public},ALL,(auth.uid() = created_by)
public,communities,Public communities are viewable by everyone,PERMISSIVE,{public},SELECT,(is_public = true)
public,community_members,Community memberships are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,community_members,Users can join communities,PERMISSIVE,{public},INSERT,null
public,community_members,Users can leave communities,PERMISSIVE,{public},DELETE,(auth.uid() = user_id)
public,community_posts,Community members can create posts,PERMISSIVE,{public},INSERT,null
public,community_posts,Community posts are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,companies,Authenticated users can create companies,PERMISSIVE,{public},INSERT,null
public,companies,Companies are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,content_safety_checks,Authenticated users can view safety checks,PERMISSIVE,{public},ALL,(auth.uid() IS NOT NULL)
public,content_tags,Authenticated users can create tags,PERMISSIVE,{public},INSERT,null
public,content_tags,Content tags are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,follows,Authenticated users can manage follows,PERMISSIVE,{public},ALL,(auth.uid() = follower_id)
public,follows,Follows are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,groups,Anyone can view groups,PERMISSIVE,{public},SELECT,true
public,groups,Authenticated users can create groups,PERMISSIVE,{public},INSERT,null
public,likes,Authenticated users can manage likes,PERMISSIVE,{public},ALL,(auth.uid() = user_id)
public,likes,Likes are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,media_files,Media files are viewable by everyone,PERMISSIVE,{public},SELECT,true
public,media_files,Users can manage their own media files,PERMISSIVE,{public},ALL,"(auth.uid() = ( SELECT posts.user_id
   FROM posts
  WHERE (posts.id = media_files.post_id)))"
public,messages,Users can create messages,PERMISSIVE,{public},INSERT,null
